Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
576,O,2.500,3.500,30.000,2
577,O,2.500,3.500,30.000,2
578,O,2.500,3.500,30.000,3
579,O,2.500,3.500,30.000,2
580,O,2.500,3.500,30.000,2
581,O,2.500,3.500,30.000,7
582,O,2.500,3.500,30.000,4
583,O,2.500,3.500,30.000,7
584,O,2.500,3.500,30.000,3
585,O,2.500,3.500,30.000,5
586,O,2.500,3.500,30.000,1
587,O,2.500,3.500,30.000,3
588,O,2.500,3.500,30.000,2
589,O,2.500,3.500,30.000,5
590,O,2.500,3.500,30.000,2
591,O,2.500,3.500,30.000,3
592,O,2.500,3.500,30.000,5
593,O,2.500,3.500,30.000,2
594,O,2.500,3.500,30.000,2
595,O,2.500,3.500,30.000,4
596,O,2.500,3.500,30.000,4
597,O,2.500,3.500,30.000,5
598,O,2.500,3.500,30.000,2
599,O,2.500,3.500,30.000,0
600,O,2.500,3.500,30.000,5
601,O,2.500,3.500,30.000,2
602,O,2.500,3.500,30.000,8
603,O,2.500,3.500,30.000,3
604,O,2.500,3.500,30.000,3
605,O,2.500,3.500,30.000,4
606,O,2.500,3.500,30.000,7
607,O,2.500,3.500,30.000,5
608,O,2.500,3.500,30.000,2
609,O,2.500,3.500,30.000,3
610,O,2.500,3.500,30.000,4
611,O,2.500,3.500,30.000,4
612,O,2.500,3.500,30.000,4
613,O,2.500,3.500,30.000,4
614,O,2.500,3.500,30.000,1
615,O,2.500,3.500,30.000,2
616,O,2.500,3.500,30.000,3
617,O,2.500,3.500,30.000,4
618,O,2.500,3.500,30.000,2
619,O,2.500,3.500,30.000,10
620,O,2.500,3.500,30.000,4
621,O,2.500,3.500,30.000,4
622,O,2.500,3.500,30.000,3
623,O,2.500,3.500,30.000,7
624,O,2.500,3.500,30.000,3
625,O,2.500,3.500,30.000,2
626,O,2.500,3.500,30.000,3
627,O,2.500,3.500,30.000,4
628,O,2.500,3.500,30.000,0
629,O,2.500,3.500,30.000,4
630,O,2.500,3.500,30.000,2
631,O,2.500,3.500,30.000,1
632,O,2.500,3.500,30.000,4
633,O,2.500,3.500,30.000,4
634,O,2.500,3.500,30.000,3
635,O,2.500,3.500,30.000,3
636,O,2.500,3.500,30.000,3
637,O,2.500,3.500,30.000,1
638,O,2.500,3.500,30.000,7
639,O,2.500,3.500,30.000,3
640,O,2.500,3.500,30.000,4
641,O,2.500,3.500,30.000,0
642,O,2.500,3.500,30.000,3
643,O,2.500,3.500,30.000,5
644,O,2.500,3.500,30.000,5
645,O,2.500,3.500,30.000,3
646,O,2.500,3.500,30.000,1
647,O,2.500,3.500,30.000,5
648,O,2.500,3.500,30.000,2
649,O,2.500,3.500,30.000,3
650,O,2.500,3.500,30.000,6
651,O,2.500,3.500,30.000,6
652,O,2.500,3.500,30.000,1
653,O,2.500,3.500,30.000,4
654,O,2.500,3.500,30.000,4
655,O,2.500,3.500,30.000,5
656,O,2.500,3.500,30.000,1
