Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
562,O,2.500,3.500,30.000,58
563,O,2.500,3.500,30.000,43
564,O,2.500,3.500,30.000,35
565,O,2.500,3.500,30.000,39
566,O,2.500,3.500,30.000,37
567,O,2.500,3.500,30.000,46
568,O,2.500,3.500,30.000,38
569,O,2.500,3.500,30.000,41
570,O,2.500,3.500,30.000,43
571,O,2.500,3.500,30.000,30
572,O,2.500,3.500,30.000,29
573,O,2.500,3.500,30.000,43
574,O,2.500,3.500,30.000,46
575,O,2.500,3.500,30.000,39
576,O,2.500,3.500,30.000,45
577,O,2.500,3.500,30.000,37
578,O,2.500,3.500,30.000,42
579,O,2.500,3.500,30.000,38
580,O,2.500,3.500,30.000,34
581,O,2.500,3.500,30.000,47
582,O,2.500,3.500,30.000,42
583,O,2.500,3.500,30.000,51
584,O,2.500,3.500,30.000,37
585,O,2.500,3.500,30.000,40
586,O,2.500,3.500,30.000,46
587,O,2.500,3.500,30.000,54
588,O,2.500,3.500,30.000,47
589,O,2.500,3.500,30.000,40
590,O,2.500,3.500,30.000,47
591,O,2.500,3.500,30.000,41
592,O,2.500,3.500,30.000,42
593,O,2.500,3.500,30.000,47
594,O,2.500,3.500,30.000,43
595,O,2.500,3.500,30.000,42
596,O,2.500,3.500,30.000,51
597,O,2.500,3.500,30.000,46
598,O,2.500,3.500,30.000,48
599,O,2.500,3.500,30.000,40
600,O,2.500,3.500,30.000,42
601,O,2.500,3.500,30.000,35
602,O,2.500,3.500,30.000,43
603,O,2.500,3.500,30.000,44
604,O,2.500,3.500,30.000,43
605,O,2.500,3.500,30.000,28
606,O,2.500,3.500,30.000,38
607,O,2.500,3.500,30.000,44
608,O,2.500,3.500,30.000,42
609,O,2.500,3.500,30.000,31
610,O,2.500,3.500,30.000,43
611,O,2.500,3.500,30.000,39
612,O,2.500,3.500,30.000,45
613,O,2.500,3.500,30.000,39
614,O,2.500,3.500,30.000,41
615,O,2.500,3.500,30.000,41
616,O,2.500,3.500,30.000,43
617,O,2.500,3.500,30.000,47
618,O,2.500,3.500,30.000,37
619,O,2.500,3.500,30.000,35
620,O,2.500,3.500,30.000,39
621,O,2.500,3.500,30.000,36
622,O,2.500,3.500,30.000,38
623,O,2.500,3.500,30.000,43
624,O,2.500,3.500,30.000,43
625,O,2.500,3.500,30.000,35
626,O,2.500,3.500,30.000,58
627,O,2.500,3.500,30.000,41
628,O,2.500,3.500,30.000,44
629,O,2.500,3.500,30.000,50
630,O,2.500,3.500,30.000,34
631,O,2.500,3.500,30.000,47
632,O,2.500,3.500,30.000,43
633,O,2.500,3.500,30.000,38
634,O,2.500,3.500,30.000,38
635,O,2.500,3.500,30.000,46
636,O,2.500,3.500,30.000,46
637,O,2.500,3.500,30.000,40
638,O,2.500,3.500,30.000,37
639,O,2.500,3.500,30.000,37
640,O,2.500,3.500,30.000,39
641,O,2.500,3.500,30.000,38
642,O,2.500,3.500,30.000,38
643,O,2.500,3.500,30.000,30
644,O,2.500,3.500,30.000,35
645,O,2.500,3.500,30.000,40
646,O,2.500,3.500,30.000,42
647,O,2.500,3.500,30.000,44
648,O,2.500,3.500,30.000,40
649,O,2.500,3.500,30.000,38
650,O,2.500,3.500,30.000,38
651,O,2.500,3.500,30.000,50
652,O,2.500,3.500,30.000,50
653,O,2.500,3.500,30.000,43
654,O,2.500,3.500,30.000,46
655,O,2.500,3.500,30.000,42
656,O,2.500,3.500,30.000,43
657,O,2.500,3.500,30.000,38
658,O,2.500,3.500,30.000,39
659,O,2.500,3.500,30.000,38
660,O,2.500,3.500,30.000,49
661,O,2.500,3.500,30.000,38
662,O,2.500,3.500,30.000,38
663,O,2.500,3.500,30.000,39
664,O,2.500,3.500,30.000,33
665,O,2.500,3.500,30.000,42
666,O,2.500,3.500,30.000,38
667,O,2.500,3.500,30.000,48
668,O,2.500,3.500,30.000,27
669,O,2.500,3.500,30.000,39
670,O,2.500,3.500,30.000,46
671,O,2.500,3.500,30.000,48
672,O,2.500,3.500,30.000,40
673,O,2.500,3.500,30.000,39
674,O,2.500,3.500,30.000,37
675,O,2.500,3.500,30.000,44
676,O,2.500,3.500,30.000,33
677,O,2.500,3.500,30.000,46
678,O,2.500,3.500,30.000,39
679,O,2.500,3.500,30.000,43
680,O,2.500,3.500,30.000,34
681,O,2.500,3.500,30.000,51
682,O,2.500,3.500,30.000,34
683,O,2.500,3.500,30.000,41
684,O,2.500,3.500,30.000,34
685,O,2.500,3.500,30.000,41
686,O,2.500,3.500,30.000,39
687,O,2.500,3.500,30.000,45
688,O,2.500,3.500,30.000,40
689,O,2.500,3.500,30.000,39
690,O,2.500,3.500,30.000,35
691,O,2.500,3.500,30.000,45
692,O,2.500,3.500,30.000,42
693,O,2.500,3.500,30.000,47
694,O,2.500,3.500,30.000,36
695,O,2.500,3.500,30.000,43
696,O,2.500,3.500,30.000,37
697,O,2.500,3.500,30.000,39
698,O,2.500,3.500,30.000,46
699,O,2.500,3.500,30.000,39
700,O,2.500,3.500,30.000,49
701,O,2.500,3.500,30.000,39
702,O,2.500,3.500,30.000,36
703,O,2.500,3.500,30.000,46
704,O,2.500,3.500,30.000,43
705,O,2.500,3.500,30.000,40
706,O,2.500,3.500,30.000,36
707,O,2.500,3.500,30.000,46
708,O,2.500,3.500,30.000,41
709,O,2.500,3.500,30.000,51
710,O,2.500,3.500,30.000,43
711,O,2.500,3.500,30.000,46
712,O,2.500,3.500,30.000,39
713,O,2.500,3.500,30.000,47
714,O,2.500,3.500,30.000,45
715,O,2.500,3.500,30.000,43
716,O,2.500,3.500,30.000,48
717,O,2.500,3.500,30.000,45
718,O,2.500,3.500,30.000,41
719,O,2.500,3.500,30.000,36
720,O,2.500,3.500,30.000,43
721,O,2.500,3.500,30.000,32
722,O,2.500,3.500,30.000,42
723,O,2.500,3.500,30.000,48
724,O,2.500,3.500,30.000,44
725,O,2.500,3.500,30.000,40
726,O,2.500,3.500,30.000,35
727,O,2.500,3.500,30.000,48
728,O,2.500,3.500,30.000,37
729,O,2.500,3.500,30.000,50
730,O,2.500,3.500,30.000,42
731,O,2.500,3.500,30.000,44
732,O,2.500,3.500,30.000,39
733,O,2.500,3.500,30.000,43
734,O,2.500,3.500,30.000,32
735,O,2.500,3.500,30.000,45
736,O,2.500,3.500,30.000,34
737,O,2.500,3.500,30.000,46
738,O,2.500,3.500,30.000,42
739,O,2.500,3.500,30.000,45
740,O,2.500,3.500,30.000,50
741,O,2.500,3.500,30.000,46
742,O,2.500,3.500,30.000,36
743,O,2.500,3.500,30.000,47
744,O,2.500,3.500,30.000,35
745,O,2.500,3.500,30.000,36
746,O,2.500,3.500,30.000,51
747,O,2.500,3.500,30.000,34
748,O,2.500,3.500,30.000,41
749,O,2.500,3.500,30.000,49
750,O,2.500,3.500,30.000,42
751,O,2.500,3.500,30.000,37
752,O,2.500,3.500,30.000,38
753,O,2.500,3.500,30.000,38
754,O,2.500,3.500,30.000,41
755,O,2.500,3.500,30.000,43
756,O,2.500,3.500,30.000,37
757,O,2.500,3.500,30.000,48
758,O,2.500,3.500,30.000,54
759,O,2.500,3.500,30.000,47
